"hour","bc_us_MWh","bc_ab_MWh","datetime_pst"
1,386,27,2001-01-20
2,467,16,2001-01-20 01:00:00
3,489,1,2001-01-20 02:00:00
4,687,15,2001-01-20 03:00:00
5,708,68,2001-01-20 04:00:00
6,715,103,2001-01-20 05:00:00
7,501,150,2001-01-20 06:00:00
8,345,130,2001-01-20 07:00:00
9,676,98,2001-01-20 08:00:00
10,588,47,2001-01-20 09:00:00
11,401,94,2001-01-20 10:00:00
12,315,169,2001-01-20 11:00:00
13,354,151,2001-01-20 12:00:00
14,379,129,2001-01-20 13:00:00
15,387,186,2001-01-20 14:00:00
16,399,124,2001-01-20 15:00:00
17,475,147,2001-01-20 16:00:00
18,702,158,2001-01-20 17:00:00
19,660,173,2001-01-20 18:00:00
20,593,177,2001-01-20 19:00:00
21,470,133,2001-01-20 20:00:00
22,459,142,2001-01-20 21:00:00
23,468,188,2001-01-20 22:00:00
24,551,64,2001-01-20 23:00:00
1,615,46,2001-02-20
2,428,51,2001-02-20 01:00:00
3,181,30,2001-02-20 02:00:00
4,161,14,2001-02-20 03:00:00
5,41,86,2001-02-20 04:00:00
6,531,106,2001-02-20 05:00:00
7,-32,135,2001-02-20 06:00:00
8,-35,127,2001-02-20 07:00:00
9,349,190,2001-02-20 08:00:00
10,60,238,2001-02-20 09:00:00
11,134,211,2001-02-20 10:00:00
12,60,211,2001-02-20 11:00:00
13,292,171,2001-02-20 12:00:00
14,156,161,2001-02-20 13:00:00
15,260,167,2001-02-20 14:00:00
16,561,361,2001-02-20 15:00:00
17,-9,302,2001-02-20 16:00:00
18,-125,317,2001-02-20 17:00:00
19,-92,212,2001-02-20 18:00:00
20,-135,159,2001-02-20 19:00:00
21,-70,157,2001-02-20 20:00:00
22,-161,223,2001-02-20 21:00:00
23,358,252,2001-02-20 22:00:00
24,239,111,2001-02-20 23:00:00
1,232,27,2001-03-20
2,171,39,2001-03-20 01:00:00
3,236,56,2001-03-20 02:00:00
4,211,64,2001-03-20 03:00:00
5,333,82,2001-03-20 04:00:00
6,293,81,2001-03-20 05:00:00
7,-658,204,2001-03-20 06:00:00
8,-786,226,2001-03-20 07:00:00
9,-875,200,2001-03-20 08:00:00
10,-197,259,2001-03-20 09:00:00
11,-133,215,2001-03-20 10:00:00
12,-180,102,2001-03-20 11:00:00
13,-166,99,2001-03-20 12:00:00
14,-181,93,2001-03-20 13:00:00
15,-106,21,2001-03-20 14:00:00
16,-35,-21,2001-03-20 15:00:00
17,-50,-21,2001-03-20 16:00:00
18,19,23,2001-03-20 17:00:00
19,-48,-6,2001-03-20 18:00:00
20,-10,-73,2001-03-20 19:00:00
21,74,-74,2001-03-20 20:00:00
22,-166,-116,2001-03-20 21:00:00
23,-255,-89,2001-03-20 22:00:00
24,-397,-181,2001-03-20 23:00:00
1,-306,-198,2001-04-20
2,-401,-91,2001-04-20 01:00:00
3,-521,-23,2001-04-20 02:00:00
4,-733,18,2001-04-20 03:00:00
5,-699,-34,2001-04-20 04:00:00
6,-833,15,2001-04-20 05:00:00
7,-1115,72,2001-04-20 06:00:00
8,-1093,138,2001-04-20 07:00:00
9,-981,330,2001-04-20 08:00:00
10,-992,371,2001-04-20 09:00:00
11,-1134,335,2001-04-20 10:00:00
12,-1229,197,2001-04-20 11:00:00
13,-761,180,2001-04-20 12:00:00
14,-360,92,2001-04-20 13:00:00
15,-116,122,2001-04-20 14:00:00
16,18,153,2001-04-20 15:00:00
17,265,79,2001-04-20 16:00:00
18,120,113,2001-04-20 17:00:00
19,2,54,2001-04-20 18:00:00
20,-17,-1,2001-04-20 19:00:00
21,-173,-77,2001-04-20 20:00:00
22,-201,-214,2001-04-20 21:00:00
23,-538,-299,2001-04-20 22:00:00
24,-529,-469,2001-04-20 23:00:00
1,176,-506,2001-05-20
2,356,-490,2001-05-20 01:00:00
3,307,-506,2001-05-20 02:00:00
4,416,-338,2001-05-20 03:00:00
5,545,-215,2001-05-20 04:00:00
6,511,-2,2001-05-20 05:00:00
7,-103,10,2001-05-20 06:00:00
8,-120,324,2001-05-20 07:00:00
9,-499,330,2001-05-20 08:00:00
10,-423,314,2001-05-20 09:00:00
11,-561,275,2001-05-20 10:00:00
12,-797,288,2001-05-20 11:00:00
13,-1027,345,2001-05-20 12:00:00
14,-1093,326,2001-05-20 13:00:00
15,-719,315,2001-05-20 14:00:00
16,12,268,2001-05-20 15:00:00
17,400,312,2001-05-20 16:00:00
18,-154,301,2001-05-20 17:00:00
19,-24,322,2001-05-20 18:00:00
20,-381,386,2001-05-20 19:00:00
21,-440,141,2001-05-20 20:00:00
22,-655,-16,2001-05-20 21:00:00
23,-89,-131,2001-05-20 22:00:00
24,-167,-389,2001-05-20 23:00:00
1,-836,-692,2001-06-20
2,-723,-907,2001-06-20 01:00:00
3,-720,-925,2001-06-20 02:00:00
4,-752,-750,2001-06-20 03:00:00
5,-755,-733,2001-06-20 04:00:00
6,-434,-789,2001-06-20 05:00:00
7,-118,-545,2001-06-20 06:00:00
8,-64,-493,2001-06-20 07:00:00
9,238,-678,2001-06-20 08:00:00
10,-91,-799,2001-06-20 09:00:00
11,-218,-314,2001-06-20 10:00:00
12,-323,-567,2001-06-20 11:00:00
13,-445,-528,2001-06-20 12:00:00
14,-828,-596,2001-06-20 13:00:00
15,-684,-441,2001-06-20 14:00:00
16,-400,-319,2001-06-20 15:00:00
17,-126,-507,2001-06-20 16:00:00
18,200,-530,2001-06-20 17:00:00
19,-568,-799,2001-06-20 18:00:00
20,-571,-711,2001-06-20 19:00:00
21,-589,-739,2001-06-20 20:00:00
22,-84,-925,2001-06-20 21:00:00
23,-971,-725,2001-06-20 22:00:00
24,-1107,-708,2001-06-20 23:00:00
1,-1955,-819,2001-07-20
2,-1914,-825,2001-07-20 01:00:00
3,-1867,-722,2001-07-20 02:00:00
4,-1870,-637,2001-07-20 03:00:00
5,-1913,-665,2001-07-20 04:00:00
6,-1568,-400,2001-07-20 05:00:00
7,-792,-271,2001-07-20 06:00:00
8,-678,-224,2001-07-20 07:00:00
9,-41,-226,2001-07-20 08:00:00
10,-168,-110,2001-07-20 09:00:00
11,-584,-204,2001-07-20 10:00:00
12,-813,-146,2001-07-20 11:00:00
13,-521,-275,2001-07-20 12:00:00
14,-446,-214,2001-07-20 13:00:00
15,-394,-39,2001-07-20 14:00:00
16,-421,20,2001-07-20 15:00:00
17,331,-33,2001-07-20 16:00:00
18,350,-196,2001-07-20 17:00:00
19,-171,-194,2001-07-20 18:00:00
20,-382,-236,2001-07-20 19:00:00
21,-783,-381,2001-07-20 20:00:00
22,-1158,-225,2001-07-20 21:00:00
23,-1679,-228,2001-07-20 22:00:00
24,-1813,-255,2001-07-20 23:00:00
1,-1431,-361,2001-08-20
2,-1672,-380,2001-08-20 01:00:00
3,-1421,-468,2001-08-20 02:00:00
4,-1551,-363,2001-08-20 03:00:00
5,-1356,-308,2001-08-20 04:00:00
6,-1060,-235,2001-08-20 05:00:00
7,-1027,-61,2001-08-20 06:00:00
8,-561,-84,2001-08-20 07:00:00
9,-1047,-23,2001-08-20 08:00:00
10,-1531,-88,2001-08-20 09:00:00
11,-1905,-72,2001-08-20 10:00:00
12,-1954,-161,2001-08-20 11:00:00
13,-1917,-289,2001-08-20 12:00:00
14,-2059,-373,2001-08-20 13:00:00
15,-2162,-310,2001-08-20 14:00:00
16,-1683,-207,2001-08-20 15:00:00
17,-598,-211,2001-08-20 16:00:00
18,-1143,-66,2001-08-20 17:00:00
19,-1153,-22,2001-08-20 18:00:00
20,-1028,-2,2001-08-20 19:00:00
21,-1008,-50,2001-08-20 20:00:00
22,-1029,-18,2001-08-20 21:00:00
23,-962,-80,2001-08-20 22:00:00
24,-1425,-179,2001-08-20 23:00:00
1,-1187,-212,2001-09-20
2,-1178,-285,2001-09-20 01:00:00
3,-1057,-338,2001-09-20 02:00:00
4,-1089,-299,2001-09-20 03:00:00
5,-669,-274,2001-09-20 04:00:00
6,-210,-75,2001-09-20 05:00:00
7,-201,-3,2001-09-20 06:00:00
8,-89,-1,2001-09-20 07:00:00
9,-548,-18,2001-09-20 08:00:00
10,-534,5,2001-09-20 09:00:00
11,-685,2,2001-09-20 10:00:00
12,-748,-96,2001-09-20 11:00:00
13,-956,-213,2001-09-20 12:00:00
14,-1129,-374,2001-09-20 13:00:00
15,-1444,-377,2001-09-20 14:00:00
16,-900,-399,2001-09-20 15:00:00
17,485,-413,2001-09-20 16:00:00
18,-91,-513,2001-09-20 17:00:00
19,-121,-528,2001-09-20 18:00:00
20,-165,-633,2001-09-20 19:00:00
21,-78,-661,2001-09-20 20:00:00
22,-119,-860,2001-09-20 21:00:00
23,417,-935,2001-09-20 22:00:00
24,402,-958,2001-09-20 23:00:00
1,103,-931,2001-10-20
2,202,-922,2001-10-20 01:00:00
3,223,-946,2001-10-20 02:00:00
4,263,-977,2001-10-20 03:00:00
5,311,-945,2001-10-20 04:00:00
6,222,-942,2001-10-20 05:00:00
7,-390,-947,2001-10-20 06:00:00
8,-514,-917,2001-10-20 07:00:00
9,-1125,-918,2001-10-20 08:00:00
10,-1150,-921,2001-10-20 09:00:00
11,-1445,-936,2001-10-20 10:00:00
12,-1534,-926,2001-10-20 11:00:00
13,-1498,-927,2001-10-20 12:00:00
14,-1403,-935,2001-10-20 13:00:00
15,-1607,-945,2001-10-20 14:00:00
16,-1069,-944,2001-10-20 15:00:00
17,68,-949,2001-10-20 16:00:00
18,-196,-938,2001-10-20 17:00:00
19,-242,-600,2001-10-20 18:00:00
20,-141,-561,2001-10-20 19:00:00
21,-108,-604,2001-10-20 20:00:00
22,-164,-914,2001-10-20 21:00:00
23,367,-920,2001-10-20 22:00:00
24,317,-933,2001-10-20 23:00:00
1,533,-947,2001-11-20
2,630,-883,2001-11-20 01:00:00
3,716,-931,2001-11-20 02:00:00
4,732,-949,2001-11-20 03:00:00
5,550,-917,2001-11-20 04:00:00
6,454,-924,2001-11-20 05:00:00
7,277,-931,2001-11-20 06:00:00
8,287,-917,2001-11-20 07:00:00
9,-759,-943,2001-11-20 08:00:00
10,-1989,-955,2001-11-20 09:00:00
11,-2116,-959,2001-11-20 10:00:00
12,-2083,-942,2001-11-20 11:00:00
13,-2053,-943,2001-11-20 12:00:00
14,-2242,-746,2001-11-20 13:00:00
15,-2251,-725,2001-11-20 14:00:00
16,-1860,-615,2001-11-20 15:00:00
17,112,-609,2001-11-20 16:00:00
18,329,-611,2001-11-20 17:00:00
19,439,-590,2001-11-20 18:00:00
20,373,-537,2001-11-20 19:00:00
21,495,-909,2001-11-20 20:00:00
22,566,-920,2001-11-20 21:00:00
23,539,-891,2001-11-20 22:00:00
24,518,-904,2001-11-20 23:00:00
1,580,-943,2001-12-20
2,514,-902,2001-12-20 01:00:00
3,361,-940,2001-12-20 02:00:00
4,382,-889,2001-12-20 03:00:00
5,381,-895,2001-12-20 04:00:00
6,-62,-873,2001-12-20 05:00:00
7,-319,-877,2001-12-20 06:00:00
8,-572,-680,2001-12-20 07:00:00
9,-1282,-447,2001-12-20 08:00:00
10,-1192,-513,2001-12-20 09:00:00
11,-1180,-617,2001-12-20 10:00:00
12,-1477,-747,2001-12-20 11:00:00
13,-1602,-904,2001-12-20 12:00:00
14,-1796,-869,2001-12-20 13:00:00
15,-2001,-697,2001-12-20 14:00:00
16,-1518,-439,2001-12-20 15:00:00
17,-203,-379,2001-12-20 16:00:00
18,-894,-466,2001-12-20 17:00:00
19,-995,-487,2001-12-20 18:00:00
20,-848,-567,2001-12-20 19:00:00
21,-922,-659,2001-12-20 20:00:00
22,-1039,-882,2001-12-20 21:00:00
23,-406,-889,2001-12-20 22:00:00
24,95,-902,2001-12-20 23:00:00
1,404,-19,2002-01-20
2,391,-14,2002-01-20 01:00:00
3,495,-110,2002-01-20 02:00:00
4,222,-113,2002-01-20 03:00:00
5,13,-88,2002-01-20 04:00:00
6,8,-86,2002-01-20 05:00:00
7,73,-71,2002-01-20 06:00:00
8,-216,-65,2002-01-20 07:00:00
9,-276,-87,2002-01-20 08:00:00
10,-881,-88,2002-01-20 09:00:00
11,-977,-111,2002-01-20 10:00:00
12,-1197,-106,2002-01-20 11:00:00
13,-1279,-61,2002-01-20 12:00:00
14,-1265,-99,2002-01-20 13:00:00
15,-1508,-86,2002-01-20 14:00:00
16,-1049,-102,2002-01-20 15:00:00
17,-149,-106,2002-01-20 16:00:00
18,276,-122,2002-01-20 17:00:00
19,140,-172,2002-01-20 18:00:00
20,398,-379,2002-01-20 19:00:00
21,212,-561,2002-01-20 20:00:00
22,214,-780,2002-01-20 21:00:00
23,174,-894,2002-01-20 22:00:00
24,279,-882,2002-01-20 23:00:00
1,301,-916,2002-02-20
2,333,-816,2002-02-20 01:00:00
3,566,-705,2002-02-20 02:00:00
4,658,-534,2002-02-20 03:00:00
5,283,-517,2002-02-20 04:00:00
6,702,-103,2002-02-20 05:00:00
7,621,-95,2002-02-20 06:00:00
8,683,-73,2002-02-20 07:00:00
9,174,-87,2002-02-20 08:00:00
10,-58,-61,2002-02-20 09:00:00
11,-234,-178,2002-02-20 10:00:00
12,-100,-153,2002-02-20 11:00:00
13,34,-148,2002-02-20 12:00:00
14,4,-148,2002-02-20 13:00:00
15,128,-29,2002-02-20 14:00:00
16,355,-93,2002-02-20 15:00:00
17,928,-123,2002-02-20 16:00:00
18,955,-149,2002-02-20 17:00:00
19,825,-110,2002-02-20 18:00:00
20,751,-267,2002-02-20 19:00:00
21,672,-573,2002-02-20 20:00:00
22,740,-857,2002-02-20 21:00:00
23,602,-931,2002-02-20 22:00:00
24,795,-928,2002-02-20 23:00:00
1,831,-936,2002-03-20
2,718,-902,2002-03-20 01:00:00
3,581,-912,2002-03-20 02:00:00
4,577,-871,2002-03-20 03:00:00
5,710,-527,2002-03-20 04:00:00
6,189,-286,2002-03-20 05:00:00
7,645,13,2002-03-20 06:00:00
8,647,-6,2002-03-20 07:00:00
9,672,-45,2002-03-20 08:00:00
10,529,53,2002-03-20 09:00:00
11,402,83,2002-03-20 10:00:00
12,3,76,2002-03-20 11:00:00
13,-125,-24,2002-03-20 12:00:00
14,-445,7,2002-03-20 13:00:00
15,-531,14,2002-03-20 14:00:00
16,-177,71,2002-03-20 15:00:00
17,579,25,2002-03-20 16:00:00
18,860,-14,2002-03-20 17:00:00
19,648,-13,2002-03-20 18:00:00
20,902,-264,2002-03-20 19:00:00
21,878,-556,2002-03-20 20:00:00
22,1042,-849,2002-03-20 21:00:00
23,759,-833,2002-03-20 22:00:00
24,619,-866,2002-03-20 23:00:00
1,1803,-834,2002-04-20
2,1966,-811,2002-04-20 01:00:00
3,1690,-834,2002-04-20 02:00:00
4,1836,-834,2002-04-20 03:00:00
5,1834,-828,2002-04-20 04:00:00
6,1778,-827,2002-04-20 05:00:00
7,1776,-826,2002-04-20 06:00:00
8,1676,-831,2002-04-20 07:00:00
9,1104,-858,2002-04-20 08:00:00
10,868,-814,2002-04-20 09:00:00
11,578,-854,2002-04-20 10:00:00
12,323,-856,2002-04-20 11:00:00
13,3,-851,2002-04-20 12:00:00
14,-85,-651,2002-04-20 13:00:00
15,93,-436,2002-04-20 14:00:00
16,539,-220,2002-04-20 15:00:00
17,1562,-244,2002-04-20 16:00:00
18,1696,-347,2002-04-20 17:00:00
19,1644,-531,2002-04-20 18:00:00
20,1561,-731,2002-04-20 19:00:00
21,1616,-865,2002-04-20 20:00:00
22,1538,-869,2002-04-20 21:00:00
23,1621,-845,2002-04-20 22:00:00
24,1615,-841,2002-04-20 23:00:00
1,1219,-851,2002-05-20
2,1101,-854,2002-05-20 01:00:00
3,1122,-869,2002-05-20 02:00:00
4,1215,-865,2002-05-20 03:00:00
5,1261,-856,2002-05-20 04:00:00
6,1016,-903,2002-05-20 05:00:00
7,954,-732,2002-05-20 06:00:00
8,764,-613,2002-05-20 07:00:00
9,343,-616,2002-05-20 08:00:00
10,98,-543,2002-05-20 09:00:00
11,131,-505,2002-05-20 10:00:00
12,169,-401,2002-05-20 11:00:00
13,422,-371,2002-05-20 12:00:00
14,-51,-222,2002-05-20 13:00:00
15,-14,-55,2002-05-20 14:00:00
16,479,-45,2002-05-20 15:00:00
17,773,32,2002-05-20 16:00:00
18,557,29,2002-05-20 17:00:00
19,621,150,2002-05-20 18:00:00
20,594,140,2002-05-20 19:00:00
21,584,82,2002-05-20 20:00:00
22,622,47,2002-05-20 21:00:00
23,691,-19,2002-05-20 22:00:00
24,708,7,2002-05-20 23:00:00
1,1113,-95,2002-06-20
2,1065,-189,2002-06-20 01:00:00
3,1158,-259,2002-06-20 02:00:00
4,1167,-412,2002-06-20 03:00:00
5,1143,-549,2002-06-20 04:00:00
6,1307,-472,2002-06-20 05:00:00
7,1154,-383,2002-06-20 06:00:00
8,970,-363,2002-06-20 07:00:00
9,981,-445,2002-06-20 08:00:00
10,940,-373,2002-06-20 09:00:00
11,826,-313,2002-06-20 10:00:00
12,775,-454,2002-06-20 11:00:00
13,738,-470,2002-06-20 12:00:00
14,701,-424,2002-06-20 13:00:00
15,214,-263,2002-06-20 14:00:00
16,506,-230,2002-06-20 15:00:00
17,939,-266,2002-06-20 16:00:00
18,623,-247,2002-06-20 17:00:00
19,544,-229,2002-06-20 18:00:00
20,472,-494,2002-06-20 19:00:00
21,448,-669,2002-06-20 20:00:00
22,472,-685,2002-06-20 21:00:00
23,811,-689,2002-06-20 22:00:00
24,671,-822,2002-06-20 23:00:00
1,421,-863,2002-07-20
2,396,-841,2002-07-20 01:00:00
3,519,-862,2002-07-20 02:00:00
4,593,-830,2002-07-20 03:00:00
5,659,-612,2002-07-20 04:00:00
6,715,-436,2002-07-20 05:00:00
7,471,-227,2002-07-20 06:00:00
8,234,-198,2002-07-20 07:00:00
9,-784,-258,2002-07-20 08:00:00
10,-1001,-223,2002-07-20 09:00:00
11,-1069,-210,2002-07-20 10:00:00
12,-852,-229,2002-07-20 11:00:00
13,-744,-239,2002-07-20 12:00:00
14,-615,-210,2002-07-20 13:00:00
15,-652,-271,2002-07-20 14:00:00
16,-541,-207,2002-07-20 15:00:00
17,121,-238,2002-07-20 16:00:00
18,635,-291,2002-07-20 17:00:00
19,588,-382,2002-07-20 18:00:00
20,583,-473,2002-07-20 19:00:00
21,573,-657,2002-07-20 20:00:00
22,574,-858,2002-07-20 21:00:00
23,862,-858,2002-07-20 22:00:00
24,595,-822,2002-07-20 23:00:00
1,284,-906,2002-08-20
2,400,-902,2002-08-20 01:00:00
3,324,-923,2002-08-20 02:00:00
4,281,-896,2002-08-20 03:00:00
5,206,-890,2002-08-20 04:00:00
6,228,-888,2002-08-20 05:00:00
7,-29,-893,2002-08-20 06:00:00
8,-505,-895,2002-08-20 07:00:00
9,-1252,-876,2002-08-20 08:00:00
10,-1239,-896,2002-08-20 09:00:00
11,-1269,-879,2002-08-20 10:00:00
12,-1297,-883,2002-08-20 11:00:00
13,-1370,-885,2002-08-20 12:00:00
14,-1290,-311,2002-08-20 13:00:00
15,-1281,5,2002-08-20 14:00:00
16,-1014,57,2002-08-20 15:00:00
17,-191,-1,2002-08-20 16:00:00
18,122,64,2002-08-20 17:00:00
19,208,54,2002-08-20 18:00:00
20,110,-1,2002-08-20 19:00:00
21,-120,3,2002-08-20 20:00:00
22,-186,18,2002-08-20 21:00:00
23,78,10,2002-08-20 22:00:00
24,38,-75,2002-08-20 23:00:00
1,4,-100,2002-09-20
2,10,-105,2002-09-20 01:00:00
3,88,-27,2002-09-20 02:00:00
4,-92,14,2002-09-20 03:00:00
5,32,17,2002-09-20 04:00:00
6,198,-7,2002-09-20 05:00:00
7,225,78,2002-09-20 06:00:00
8,130,89,2002-09-20 07:00:00
9,-248,39,2002-09-20 08:00:00
10,-389,78,2002-09-20 09:00:00
11,-330,137,2002-09-20 10:00:00
12,-322,105,2002-09-20 11:00:00
13,-143,30,2002-09-20 12:00:00
14,39,-7,2002-09-20 13:00:00
15,-148,0,2002-09-20 14:00:00
16,112,28,2002-09-20 15:00:00
17,493,49,2002-09-20 16:00:00
18,635,17,2002-09-20 17:00:00
19,469,5,2002-09-20 18:00:00
20,514,9,2002-09-20 19:00:00
21,522,-250,2002-09-20 20:00:00
22,488,-616,2002-09-20 21:00:00
23,683,-924,2002-09-20 22:00:00
24,697,-951,2002-09-20 23:00:00
1,1071,-954,2002-10-20
2,1001,-935,2002-10-20 01:00:00
3,1034,-924,2002-10-20 02:00:00
4,1009,-939,2002-10-20 03:00:00
5,1037,-880,2002-10-20 04:00:00
6,1042,-518,2002-10-20 05:00:00
7,978,-172,2002-10-20 06:00:00
8,934,-156,2002-10-20 07:00:00
9,1403,-223,2002-10-20 08:00:00
10,1445,-339,2002-10-20 09:00:00
11,1458,-431,2002-10-20 10:00:00
12,1405,-434,2002-10-20 11:00:00
13,1440,-536,2002-10-20 12:00:00
14,1266,-487,2002-10-20 13:00:00
15,1139,-287,2002-10-20 14:00:00
16,1158,-120,2002-10-20 15:00:00
17,1282,-132,2002-10-20 16:00:00
18,657,-124,2002-10-20 17:00:00
19,564,-94,2002-10-20 18:00:00
20,737,-347,2002-10-20 19:00:00
21,733,-520,2002-10-20 20:00:00
22,759,-755,2002-10-20 21:00:00
23,966,-844,2002-10-20 22:00:00
24,808,-850,2002-10-20 23:00:00
1,619,-890,2002-11-20
2,664,-764,2002-11-20 01:00:00
3,654,-560,2002-11-20 02:00:00
4,829,-377,2002-11-20 03:00:00
5,959,-366,2002-11-20 04:00:00
6,987,-199,2002-11-20 05:00:00
7,1037,-77,2002-11-20 06:00:00
8,961,-68,2002-11-20 07:00:00
9,802,25,2002-11-20 08:00:00
10,1393,-26,2002-11-20 09:00:00
11,1214,-55,2002-11-20 10:00:00
12,1176,-51,2002-11-20 11:00:00
13,651,-21,2002-11-20 12:00:00
14,627,-4,2002-11-20 13:00:00
15,596,-9,2002-11-20 14:00:00
16,741,4,2002-11-20 15:00:00
17,1087,26,2002-11-20 16:00:00
18,779,-36,2002-11-20 17:00:00
19,878,-26,2002-11-20 18:00:00
20,779,-152,2002-11-20 19:00:00
21,719,-262,2002-11-20 20:00:00
22,747,-485,2002-11-20 21:00:00
23,689,-628,2002-11-20 22:00:00
24,702,-886,2002-11-20 23:00:00
1,1340,-878,2002-12-20
2,1369,-870,2002-12-20 01:00:00
3,1377,-898,2002-12-20 02:00:00
4,1314,-894,2002-12-20 03:00:00
5,1861,-899,2002-12-20 04:00:00
6,1986,-789,2002-12-20 05:00:00
7,1949,-268,2002-12-20 06:00:00
8,1832,-171,2002-12-20 07:00:00
9,999,-147,2002-12-20 08:00:00
10,564,-225,2002-12-20 09:00:00
11,413,-325,2002-12-20 10:00:00
12,263,-364,2002-12-20 11:00:00
13,308,-375,2002-12-20 12:00:00
14,383,-433,2002-12-20 13:00:00
15,289,-190,2002-12-20 14:00:00
16,711,-199,2002-12-20 15:00:00
17,1342,-185,2002-12-20 16:00:00
18,1441,-197,2002-12-20 17:00:00
19,1150,-267,2002-12-20 18:00:00
20,1160,-470,2002-12-20 19:00:00
21,1112,-695,2002-12-20 20:00:00
22,1003,-858,2002-12-20 21:00:00
23,1322,-906,2002-12-20 22:00:00
24,1288,-906,2002-12-20 23:00:00
1,1465,-70,2003-01-20
2,1541,-8,2003-01-20 01:00:00
3,1282,-12,2003-01-20 02:00:00
4,1235,5,2003-01-20 03:00:00
5,1263,-23,2003-01-20 04:00:00
6,1343,-30,2003-01-20 05:00:00
7,1080,-74,2003-01-20 06:00:00
8,603,-286,2003-01-20 07:00:00
9,-210,-550,2003-01-20 08:00:00
10,-244,-598,2003-01-20 09:00:00
11,75,-592,2003-01-20 10:00:00
12,270,-389,2003-01-20 11:00:00
13,-132,-419,2003-01-20 12:00:00
14,-246,-497,2003-01-20 13:00:00
15,-256,-197,2003-01-20 14:00:00
16,-218,-115,2003-01-20 15:00:00
17,480,-52,2003-01-20 16:00:00
18,988,-35,2003-01-20 17:00:00
19,814,-3,2003-01-20 18:00:00
20,905,-89,2003-01-20 19:00:00
21,906,-114,2003-01-20 20:00:00
22,972,-80,2003-01-20 21:00:00
23,1226,-86,2003-01-20 22:00:00
24,1286,-305,2003-01-20 23:00:00
1,1242,-329,2003-02-20
2,1149,-302,2003-02-20 01:00:00
3,1193,-263,2003-02-20 02:00:00
4,1151,-221,2003-02-20 03:00:00
5,1165,-124,2003-02-20 04:00:00
6,1179,-76,2003-02-20 05:00:00
7,1054,28,2003-02-20 06:00:00
8,979,93,2003-02-20 07:00:00
9,922,88,2003-02-20 08:00:00
10,1007,20,2003-02-20 09:00:00
11,907,46,2003-02-20 10:00:00
12,916,20,2003-02-20 11:00:00
13,806,4,2003-02-20 12:00:00
14,804,0,2003-02-20 13:00:00
15,936,-1,2003-02-20 14:00:00
16,915,40,2003-02-20 15:00:00
17,912,85,2003-02-20 16:00:00
18,1368,42,2003-02-20 17:00:00
19,1375,8,2003-02-20 18:00:00
20,1384,13,2003-02-20 19:00:00
21,1352,-7,2003-02-20 20:00:00
22,1237,-4,2003-02-20 21:00:00
23,1272,-112,2003-02-20 22:00:00
24,1246,-118,2003-02-20 23:00:00
1,615,-31,2003-03-20
2,499,2,2003-03-20 01:00:00
3,467,22,2003-03-20 02:00:00
4,506,1,2003-03-20 03:00:00
5,737,8,2003-03-20 04:00:00
6,592,0,2003-03-20 05:00:00
7,477,-8,2003-03-20 06:00:00
8,298,16,2003-03-20 07:00:00
9,-102,8,2003-03-20 08:00:00
10,-271,-6,2003-03-20 09:00:00
11,-433,-8,2003-03-20 10:00:00
12,-602,-20,2003-03-20 11:00:00
13,-528,-88,2003-03-20 12:00:00
14,-668,-40,2003-03-20 13:00:00
15,-550,-140,2003-03-20 14:00:00
16,-313,-32,2003-03-20 15:00:00
17,149,-23,2003-03-20 16:00:00
18,360,-24,2003-03-20 17:00:00
19,592,-2,2003-03-20 18:00:00
20,376,1,2003-03-20 19:00:00
21,420,-30,2003-03-20 20:00:00
22,346,14,2003-03-20 21:00:00
23,570,-5,2003-03-20 22:00:00
24,529,87,2003-03-20 23:00:00
1,747,108,2003-04-20
2,843,126,2003-04-20 01:00:00
3,746,147,2003-04-20 02:00:00
4,776,180,2003-04-20 03:00:00
5,797,239,2003-04-20 04:00:00
6,752,328,2003-04-20 05:00:00
7,198,308,2003-04-20 06:00:00
8,-74,327,2003-04-20 07:00:00
9,-210,319,2003-04-20 08:00:00
10,-408,334,2003-04-20 09:00:00
11,-984,356,2003-04-20 10:00:00
12,-1243,397,2003-04-20 11:00:00
13,-1311,377,2003-04-20 12:00:00
14,-1376,354,2003-04-20 13:00:00
15,-1547,367,2003-04-20 14:00:00
16,-1607,321,2003-04-20 15:00:00
17,-1039,291,2003-04-20 16:00:00
18,-208,331,2003-04-20 17:00:00
19,-117,353,2003-04-20 18:00:00
20,86,360,2003-04-20 19:00:00
21,-82,351,2003-04-20 20:00:00
22,-109,323,2003-04-20 21:00:00
23,304,348,2003-04-20 22:00:00
24,133,371,2003-04-20 23:00:00
1,-123,414,2003-05-20
2,-338,421,2003-05-20 01:00:00
3,-354,425,2003-05-20 02:00:00
4,-321,393,2003-05-20 03:00:00
5,-289,398,2003-05-20 04:00:00
6,-297,376,2003-05-20 05:00:00
7,-890,377,2003-05-20 06:00:00
8,-1330,380,2003-05-20 07:00:00
9,-1534,339,2003-05-20 08:00:00
10,-600,381,2003-05-20 09:00:00
11,-862,376,2003-05-20 10:00:00
12,-951,134,2003-05-20 11:00:00
13,-1582,150,2003-05-20 12:00:00
14,-1900,345,2003-05-20 13:00:00
15,-2068,400,2003-05-20 14:00:00
16,-2242,422,2003-05-20 15:00:00
17,-1575,390,2003-05-20 16:00:00
18,-828,337,2003-05-20 17:00:00
19,-913,369,2003-05-20 18:00:00
20,-839,375,2003-05-20 19:00:00
21,-841,363,2003-05-20 20:00:00
