"bike_latitude","bike_longitude","station_name","event","timestamp"
48.426215,-123.361732,"Blanshard St. & Yates St.","taken_out",2026-09-02 10:10:26.759837
48.426172,-123.362176,"Blanshard St. & Yates St.","returned",2026-09-02 10:10:26.759837
48.426962,-123.370407,"Wharf St. & Yates St.","returned",2026-09-02 10:10:26.759837
48.426222,-123.362212,"Blanshard St. & Yates St.","taken_out",2026-09-02 10:11:28.520068
48.415456,-123.383678,"Dallas Rd. & Dock St.","returned",2026-09-02 10:11:28.520068
48.420178,-123.371335,"Menzies St. & Quebec St.","taken_out",2026-09-02 10:13:31.847787
48.427846,-123.36205,"Pandora Ave. & Blanshard St.","taken_out",2026-09-02 10:13:31.847787
48.407934,-123.357477,"Cook St. & Dallas Rd.","returned",2026-09-02 10:13:31.847787
48.428326,-123.366232,"Centennial Square","returned",2026-09-02 10:14:33.582013
48.407933,-123.357491,"Cook St. & Dallas Rd.","taken_out",2026-09-02 10:15:35.286668
48.410322,-123.374271,"Dallas Rd. & Government St.","returned",2026-09-02 10:15:35.286668
48.446842,-123.349862,"Cook St. & Lang St.","taken_out",2026-09-02 10:16:36.873387
48.432122,-123.383535,"Bay St. & Henry St.","taken_out",2026-09-02 10:16:36.873387
48.42298,-123.363028,"Blanshard St. & Courtney St.","returned",2026-09-02 10:16:36.873387
48.43098,-123.355734,"Vancouver St. & Green St.","taken_out",2026-09-02 10:18:40.339115
48.413479,-123.370434,"Government St. & Simcoe St.","returned",2026-09-02 10:18:40.339115
48.430778,-123.355639,"Vancouver St. & Green St.","returned",2026-09-02 10:18:40.339115
48.414923,-123.356186,"Cook St. & McKenzie St.","taken_out",2026-09-02 10:19:42.099512
48.430778,-123.355639,"Vancouver St. & Green St.","taken_out",2026-09-02 10:19:42.099512
48.421516,-123.384628,"Dallas Rd. & Ontario St.","returned",2026-09-02 10:19:42.099512
48.434753,-123.380629,"Central Spur Rd. & Bridges Park","returned",2026-09-02 10:19:42.099512
48.414829,-123.377763,"Niagara St. & Boyd St.","taken_out",2026-09-02 10:20:44.248945
48.44332,-123.383683,"Gorge Rd. & Carroll St.","taken_out",2026-09-02 10:20:44.248945
48.42298,-123.363028,"Blanshard St. & Courtney St.","taken_out",2026-09-02 10:21:46.871385
48.443495,-123.38371,"Gorge Rd. & Carroll St.","taken_out",2026-09-02 10:21:46.871385
48.428329,-123.366259,"Centennial Square","taken_out",2026-09-02 10:21:46.871385
48.446479,-123.358041,"Jackson St. & Finlayson St.","taken_out",2026-09-02 10:21:46.871385
48.423011,-123.363051,"Blanshard St. & Courtney St.","returned",2026-09-02 10:22:48.334961
48.423435,-123.353685,"Fort St. & Cook St.","taken_out",2026-09-02 10:23:50.196123
48.423512,-123.369825,"Ship Point","returned",2026-09-02 10:23:50.196123
48.413495,-123.370423,"Government St. & Simcoe St.","taken_out",2026-09-02 10:24:51.802351
48.448996,-123.361428,"Quadra St. & Tolmie Ave.","taken_out",2026-09-02 10:26:55.260583
48.449132,-123.358823,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:26:55.260583
48.449067,-123.361396,"Quadra St. & Tolmie Ave.","taken_out",2026-09-02 10:26:55.260583
48.423011,-123.362925,"Blanshard St. & Courtney St.","returned",2026-09-02 10:26:55.260583
48.415959,-123.375683,"Croft St. & Simcoe St.","returned",2026-09-02 10:27:56.871165
48.449132,-123.358823,"Jackson St. & Tolmie Ave.","returned",2026-09-02 10:27:56.871165
48.449015,-123.361451,"Quadra St. & Tolmie Ave.","returned",2026-09-02 10:28:58.882718
48.441129,-123.3928,"Selkirk Ave. & Arm St.","returned",2026-09-02 10:28:58.882718
48.419623,-123.354651,"Cook St. & Richardson St.","returned",2026-09-02 10:28:58.882718
48.449023,-123.361408,"Quadra St. & Tolmie Ave.","returned",2026-09-02 10:28:58.882718
48.41483,-123.377763,"Niagara St. & Boyd St.","returned",2026-09-02 10:30:01.399621
48.449015,-123.361451,"Quadra St. & Tolmie Ave.","taken_out",2026-09-02 10:31:03.855894
48.449021,-123.361347,"Quadra St. & Tolmie Ave.","taken_out",2026-09-02 10:31:03.855894
48.424906,-123.368003,"Fort St. & Government St.","taken_out",2026-09-02 10:31:03.855894
48.449023,-123.361408,"Quadra St. & Tolmie Ave.","taken_out",2026-09-02 10:31:03.855894
48.446907,-123.34971,"Cook St. & Lang St.","taken_out",2026-09-02 10:32:06.338979
48.426463,-123.365241,"Yates St. & Douglas St.","returned",2026-09-02 10:32:06.338979
48.426419,-123.365318,"Yates St. & Douglas St.","returned",2026-09-02 10:32:06.338979
48.424908,-123.368112,"Fort St. & Government St.","taken_out",2026-09-02 10:34:10.935093
48.42915,-123.366875,"Government St. & Fisgard St.","returned",2026-09-02 10:35:12.57725
48.4491,-123.358872,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:36:14.225409
48.449074,-123.358734,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:36:14.225409
48.449102,-123.358861,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:36:14.225409
48.449077,-123.358887,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:36:14.225409
48.449204,-123.358215,"Jackson St. & Tolmie Ave.","taken_out",2026-09-02 10:36:14.225409
48.410346,-123.374215,"Dallas Rd. & Government St.","returned",2026-09-02 10:36:14.225409
48.446846,-123.349904,"Cook St. & Lang St.","returned",2026-09-02 10:39:18.717295
48.414808,-123.377789,"Niagara St. & Boyd St.","returned",2026-09-02 10:41:21.410298
48.420247,-123.371309,"Menzies St. & Quebec St.","returned",2026-09-02 10:41:21.410298
48.441439,-123.354235,"Blackwood St. & Vista Hts.","returned",2026-09-02 10:44:26.405726
48.441447,-123.354222,"Blackwood St. & Vista Hts.","returned",2026-09-02 10:44:26.405726
48.4271,-123.370477,"Wharf St. & Yates St.","taken_out",2026-09-02 10:45:27.984779
48.420877,-123.379514,"Montreal St. & Superior St.","returned",2026-09-02 10:45:27.984779
48.441227,-123.351081,"Cook St. & Basil Ave.","taken_out",2026-09-02 10:46:29.469093
48.441262,-123.351072,"Cook St. & Basil Ave.","taken_out",2026-09-02 10:46:29.469093
48.425941,-123.356337,"Vancouver St. & Johnson St.","taken_out",2026-09-02 10:47:30.767735
48.420881,-123.379566,"Montreal St. & Superior St.","returned",2026-09-02 10:47:30.767735
48.425956,-123.35634,"Vancouver St. & Johnson St.","taken_out",2026-09-02 10:48:32.531784
48.436422,-123.388136,"Raynor Ave. & Craigflower Rd.","taken_out",2026-09-02 10:51:37.171458
48.441242,-123.351114,"Cook St. & Basil Ave.","taken_out",2026-09-02 10:51:37.171458
48.440029,-123.354793,"Graham St. & Hillside Ave.","returned",2026-09-02 10:51:37.171458
